,mrt_name,stop_id,line,longitude,latitude,SUBZONE_N,town,region
0,EUNOS MRT STATION,EW7,EW,103.9032525,1.319778952,GEYLANG EAST,GEYLANG,CENTRAL REGION
1,CHINESE GARDEN MRT STATION,EW25,EW,103.7325967,1.342352821,LAKESIDE (LEISURE),JURONG EAST,WEST REGION
2,KHATIB MRT STATION,NS14,NS,103.8329799,1.41738337,KHATIB,YISHUN,NORTH REGION
3,KRANJI MRT STATION,NS7,NS,103.7621654,1.425177699,TURF CLUB,SUNGEI KADUT,NORTH REGION
4,REDHILL MRT STATION,EW18,EW,103.8168167,1.289562726,REDHILL,BUKIT MERAH,CENTRAL REGION
5,YEW TEE MRT STATION,NS5,NS,103.7474051,1.397535018,YEW TEE,CHOA CHU KANG,WEST REGION
6,PIONEER MRT STATION,EW28,EW,103.6973215,1.337586882,JURONG WEST CENTRAL,JURONG WEST,WEST REGION
7,COMMONWEALTH MRT STATION,EW20,EW,103.7983045,1.302438735,COMMONWEALTH,QUEENSTOWN,CENTRAL REGION
8,PAYA LEBAR MRT STATION,EW8,EW,103.8930604,1.318112082,GEYLANG EAST,GEYLANG,CENTRAL REGION
9,SIMEI MRT STATION,EW3,EW,103.9533717,1.343202895,SIMEI,TAMPINES,EAST REGION
10,TAMPINES MRT STATION,EW2,EW,103.9451487,1.353301356,TAMPINES EAST,TAMPINES,EAST REGION
11,ADMIRALTY MRT STATION,NS10,NS,103.800988,1.440585001,WOODLANDS EAST,WOODLANDS,NORTH REGION
12,YISHUN MRT STATION,NS13,NS,103.835005,1.429443081,YISHUN WEST,YISHUN,NORTH REGION
13,PASIR RIS MRT STATION,EW1,EW,103.9492681,1.372983774,PASIR RIS CENTRAL,PASIR RIS,EAST REGION
14,CLEMENTI MRT STATION,EW23,EW,103.7652989,1.314954492,CLEMENTI NORTH,CLEMENTI,WEST REGION
15,ALJUNIED MRT STATION,EW9,EW,103.882906,1.316432612,ALJUNIED,GEYLANG,CENTRAL REGION
16,ANG MO KIO MRT STATION,NS16,NS,103.849933,1.369347304,CHENG SAN,ANG MO KIO,NORTH-EAST REGION
17,EXPO MRT STATION,CG1,CG,103.9615482,1.334549778,XILIN,TAMPINES,EAST REGION
18,CHOA CHU KANG MRT STATION,NS4,NS,103.7443409,1.385361693,CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION
19,QUEENSTOWN MRT STATION,EW19,EW,103.8058843,1.294860933,MEI CHIN,QUEENSTOWN,CENTRAL REGION
20,TUAS LINK MRT STATION,EW33,EW,103.6368787,1.340463766,TUAS PROMENADE,TUAS,WEST REGION
21,GUL CIRCLE MRT STATION,EW30,EW,103.660553,1.319505215,GUL CIRCLE,PIONEER,WEST REGION
22,WOODLANDS MRT STATION,NS9,NS,103.7864851,1.436875128,WOODLANDS REGIONAL CENTRE,WOODLANDS,NORTH REGION
23,TUAS CRESCENT MRT STATION,EW31,EW,103.6490755,1.321026553,TUAS NORTH,TUAS,WEST REGION
24,KALLANG MRT STATION,EW10,EW,103.8713865,1.31148891,BOON KENG,KALLANG,CENTRAL REGION
25,TUAS WEST ROAD MRT STATION,EW32,EW,103.6396141,1.329989089,TUAS BAY,TUAS,WEST REGION
26,BUONA VISTA MRT STATION,EW21,EW,103.7901915,1.307183467,ONE NORTH,QUEENSTOWN,CENTRAL REGION
27,DOVER MRT STATION,EW22,EW,103.7786378,1.311405293,SINGAPORE POLYTECHNIC,QUEENSTOWN,CENTRAL REGION
28,SEMBAWANG MRT STATION,NS11,NS,103.8200461,1.449050821,SEMBAWANG CENTRAL,SEMBAWANG,NORTH REGION
29,KEMBANGAN MRT STATION,EW6,EW,103.9129494,1.321038249,KEMBANGAN,BEDOK,EAST REGION
30,BUKIT BATOK MRT STATION,NS2,NS,103.7495668,1.349034109,BUKIT BATOK CENTRAL,BUKIT BATOK,WEST REGION
31,BOON LAY MRT STATION,EW27,EW,103.7060646,1.338604055,JURONG WEST CENTRAL,JURONG WEST,WEST REGION
32,BUKIT GOMBAK MRT STATION,NS3,NS,103.7518935,1.358761857,GUILIN,BUKIT BATOK,WEST REGION
33,MARSILING MRT STATION,NS8,NS,103.7740715,1.432514421,WOODLANDS WEST,WOODLANDS,NORTH REGION
34,BEDOK MRT STATION,EW5,EW,103.9299845,1.323979969,BEDOK NORTH,BEDOK,EAST REGION
35,JOO KOON MRT STATION,EW29,EW,103.6783751,1.327717173,JOO KOON,PIONEER,WEST REGION
36,LAKESIDE MRT STATION,EW26,EW,103.7209493,1.344259249,TAMAN JURONG,JURONG WEST,WEST REGION
37,TANAH MERAH MRT STATION,EW4,EW,103.9463465,1.327187135,BEDOK SOUTH,BEDOK,EAST REGION
