mrt_name,stop_id,line,longitude,latitude,town,region
EUNOS MRT STATION,EW7,EW,103.9032525,1.319778952,GEYLANG,CENTRAL REGION
CHINESE GARDEN MRT STATION,EW25,EW,103.7325967,1.342352821,JURONG EAST,WEST REGION
KHATIB MRT STATION,NS14,NS,103.8329799,1.41738337,YISHUN,NORTH REGION
KRANJI MRT STATION,NS7,NS,103.7621654,1.425177699,SUNGEI KADUT,NORTH REGION
REDHILL MRT STATION,EW18,EW,103.8168167,1.289562726,BUKIT MERAH,CENTRAL REGION
YEW TEE MRT STATION,NS5,NS,103.7474051,1.397535018,CHOA CHU KANG,WEST REGION
PIONEER MRT STATION,EW28,EW,103.6973215,1.337586882,JURONG WEST,WEST REGION
COMMONWEALTH MRT STATION,EW20,EW,103.7983045,1.302438735,QUEENSTOWN,CENTRAL REGION
PAYA LEBAR MRT STATION,EW8,EW,103.8930604,1.318112082,GEYLANG,CENTRAL REGION
SIMEI MRT STATION,EW3,EW,103.9533717,1.343202895,TAMPINES,EAST REGION
TAMPINES MRT STATION,EW2,EW,103.9451487,1.353301356,TAMPINES,EAST REGION
ADMIRALTY MRT STATION,NS10,NS,103.800988,1.440585001,WOODLANDS,NORTH REGION
YISHUN MRT STATION,NS13,NS,103.835005,1.429443081,YISHUN,NORTH REGION
PASIR RIS MRT STATION,EW1,EW,103.9492681,1.372983774,PASIR RIS,EAST REGION
CLEMENTI MRT STATION,EW23,EW,103.7652989,1.314954492,CLEMENTI,WEST REGION
ALJUNIED MRT STATION,EW9,EW,103.882906,1.316432612,GEYLANG,CENTRAL REGION
ANG MO KIO MRT STATION,NS16,NS,103.849933,1.369347304,ANG MO KIO,NORTH-EAST REGION
EXPO MRT STATION,CG1,CG,103.9615482,1.334549778,TAMPINES,EAST REGION
CHOA CHU KANG MRT STATION,NS4,NS,103.7443409,1.385361693,CHOA CHU KANG,WEST REGION
QUEENSTOWN MRT STATION,EW19,EW,103.8058843,1.294860933,QUEENSTOWN,CENTRAL REGION
TUAS LINK MRT STATION,EW33,EW,103.6368787,1.340463766,TUAS,WEST REGION
GUL CIRCLE MRT STATION,EW30,EW,103.660553,1.319505215,PIONEER,WEST REGION
WOODLANDS MRT STATION,NS9,NS,103.7864851,1.436875128,WOODLANDS,NORTH REGION
TUAS CRESCENT MRT STATION,EW31,EW,103.6490755,1.321026553,TUAS,WEST REGION
KALLANG MRT STATION,EW10,EW,103.8713865,1.31148891,KALLANG,CENTRAL REGION
TUAS WEST ROAD MRT STATION,EW32,EW,103.6396141,1.329989089,TUAS,WEST REGION
BUONA VISTA MRT STATION,EW21,EW,103.7901915,1.307183467,QUEENSTOWN,CENTRAL REGION
DOVER MRT STATION,EW22,EW,103.7786378,1.311405293,QUEENSTOWN,CENTRAL REGION
SEMBAWANG MRT STATION,NS11,NS,103.8200461,1.449050821,SEMBAWANG,NORTH REGION
KEMBANGAN MRT STATION,EW6,EW,103.9129494,1.321038249,BEDOK,EAST REGION
BUKIT BATOK MRT STATION,NS2,NS,103.7495668,1.349034109,BUKIT BATOK,WEST REGION
BOON LAY MRT STATION,EW27,EW,103.7060646,1.338604055,JURONG WEST,WEST REGION
BUKIT GOMBAK MRT STATION,NS3,NS,103.7518935,1.358761857,BUKIT BATOK,WEST REGION
MARSILING MRT STATION,NS8,NS,103.7740715,1.432514421,WOODLANDS,NORTH REGION
BEDOK MRT STATION,EW5,EW,103.9299845,1.323979969,BEDOK,EAST REGION
JOO KOON MRT STATION,EW29,EW,103.6783751,1.327717173,PIONEER,WEST REGION
LAKESIDE MRT STATION,EW26,EW,103.7209493,1.344259249,JURONG WEST,WEST REGION
TANAH MERAH MRT STATION,EW4,EW,103.9463465,1.327187135,BEDOK,EAST REGION
YIO CHU KANG MRT STATION,NS15,NS,103.8449473,1.381756046,ANG MO KIO,NORTH-EAST REGION
OASIS LRT STATION,PE6,PE,103.9127274,1.402286677,PUNGGOL,NORTH-EAST REGION
SAM KEE LRT STATION,PW1,PW,103.9048316,1.409612685,PUNGGOL,NORTH-EAST REGION
FARMWAY LRT STATION,SW2,SW,103.8893048,1.397170196,SENGKANG,NORTH-EAST REGION
KUPANG LRT STATION,SW3,SW,103.8812562,1.398212828,SENGKANG,NORTH-EAST REGION
RENJONG LRT STATION,SW8,SW,103.8905394,1.386723922,SENGKANG,NORTH-EAST REGION
BUKIT PANJANG LRT STATION,BP6,BP,103.7630136,1.377909898,BUKIT PANJANG,WEST REGION
FAJAR LRT STATION,BP10,BP,103.7708086,1.384520796,BUKIT PANJANG,WEST REGION
SAMUDERA LRT STATION,PW4,PW,103.9021563,1.415901719,PUNGGOL,NORTH-EAST REGION
NIBONG LRT STATION,PW5,PW,103.9003138,1.411870458,PUNGGOL,NORTH-EAST REGION
SOO TECK LRT STATION,PW7,PW,103.8972097,1.405088585,PUNGGOL,NORTH-EAST REGION
KADALOOR LRT STATION,PE5,PE,103.9164867,1.399584853,PUNGGOL,NORTH-EAST REGION
CORAL EDGE LRT STATION,PE3,PE,103.9125809,1.393909226,PUNGGOL,NORTH-EAST REGION
THANGGAM LRT STATION,SW4,SW,103.8756352,1.397318155,SENGKANG,NORTH-EAST REGION
KEAT HONG LRT STATION,BP3,BP,103.7490555,1.378602766,CHOA CHU KANG,WEST REGION
DAMAI LRT STATION,PE7,PE,103.9086035,1.405234836,PUNGGOL,NORTH-EAST REGION
COVE LRT STATION,PE1,PE,103.9059619,1.399281985,PUNGGOL,NORTH-EAST REGION
RIVIERA LRT STATION,PE4,PE,103.9161661,1.394524496,PUNGGOL,NORTH-EAST REGION
SENJA LRT STATION,BP13,BP,103.7623672,1.382692296,BUKIT PANJANG,WEST REGION
JELAPANG LRT STATION,BP12,BP,103.7645033,1.386703025,BUKIT PANJANG,WEST REGION
PETIR LRT STATION,BP7,BP,103.766669,1.377750334,BUKIT PANJANG,WEST REGION
TECK WHYE LRT STATION,BP4,BP,103.7537122,1.376684679,CHOA CHU KANG,WEST REGION
CHOA CHU KANG LRT STATION,BP1,BP,103.7445537,1.38483636,CHOA CHU KANG,WEST REGION
SOUTH VIEW LRT STATION,BP2,BP,103.7452918,1.380298287,CHOA CHU KANG,WEST REGION
LAYAR LRT STATION,SW6,SW,103.8800296,1.392079839,SENGKANG,NORTH-EAST REGION
KANGKAR LRT STATION,SE4,SE,103.902174,1.383978902,SENGKANG,NORTH-EAST REGION
MERIDIAN LRT STATION,PE2,PE,103.9089502,1.396912053,PUNGGOL,NORTH-EAST REGION
CHENG LIM LRT STATION,SW1,SW,103.8937972,1.396277631,SENGKANG,NORTH-EAST REGION
PUNGGOL POINT LRT STATION,PW3,PW,103.9066508,1.41684852,PUNGGOL,NORTH-EAST REGION
SUMANG LRT STATION,PW6,PW,103.8985585,1.408452426,PUNGGOL,NORTH-EAST REGION
FERNVALE LRT STATION,SW5,SW,103.8763086,1.391885888,SENGKANG,NORTH-EAST REGION
TONGKANG LRT STATION,SW7,SW,103.8858441,1.389347953,SENGKANG,NORTH-EAST REGION
PENDING LRT STATION,BP8,BP,103.7712702,1.376142883,BUKIT PANJANG,WEST REGION
TECK LEE LRT STATION,PW2,PW,103.9065776,1.412770894,PUNGGOL,NORTH-EAST REGION
BANGKIT LRT STATION,BP9,BP,103.7726491,1.380017897,BUKIT PANJANG,WEST REGION
BAKAU LRT STATION,SE3,SE,103.9054391,1.388092704,SENGKANG,NORTH-EAST REGION
RUMBIA LRT STATION,SE2,SE,103.9059736,1.391468497,SENGKANG,NORTH-EAST REGION
COMPASSVALE LRT STATION,SE1,SE,103.9004925,1.394493046,SENGKANG,NORTH-EAST REGION
TEN MILE JUNCTION LRT STATION,BP14,BP,103.7601398,1.380321008,CHOA CHU KANG,WEST REGION
RANGGUNG LRT STATION,SE5,SE,103.8971947,1.384233561,SENGKANG,NORTH-EAST REGION
PHOENIX LRT STATION,BP5,BP,103.7580341,1.378618844,CHOA CHU KANG,WEST REGION
SEGAR LRT STATION,BP11,BP,103.7695984,1.387772131,BUKIT PANJANG,WEST REGION
BRAS BASAH MRT STATION,CC2,CC,103.8506674,1.296861687,MUSEUM,CENTRAL REGION
MACPHERSON MRT STATION,CC10,CC,103.890287,1.326345372,GEYLANG,CENTRAL REGION
TAMPINES EAST MRT STATION,DT33,DT,103.9546345,1.356191483,TAMPINES,EAST REGION
TAMPINES WEST MRT STATION,DT31,DT,103.938437,1.345515305,TAMPINES,EAST REGION
GEYLANG BAHRU MRT STATION,DT24,DT,103.8719006,1.321505838,KALLANG,CENTRAL REGION
