street_name,latitude,longitude
ANG MO KIO AVE 1,1.3642123,103.8437544
ANG MO KIO AVE 3,1.369285452,103.8446251
ANG MO KIO AVE 4,1.383825129,103.8375377
ANG MO KIO AVE 10,1.360317893,103.8556611
ANG MO KIO AVE 5,1.377152666,103.8457275
ANG MO KIO AVE 8,1.38100345,103.8445567
ANG MO KIO AVE 6,1.37591223,103.8448833
ANG MO KIO AVE 9,1.3840866,103.8442769
ANG MO KIO AVE 2,1.375418093,103.8334406
BEDOK RESERVOIR RD,1.3408433,103.9367496
BEDOK STH RD,1.321208956,103.9455108
BEDOK STH AVE 1,1.31207625,103.934238
CHAI CHEE RD,1.327692222,103.9245112
CHAI CHEE DR,1.3262448,103.9191025
BEDOK STH AVE 3,1.3264386,103.9441436
BEDOK STH AVE 2,1.32258845,103.937325
CHAI CHEE ST,1.32791005,103.9197051
SIN MING RD,1.354194339,103.8361256
SHUNFU RD,1.351259222,103.8396186
HILLVIEW AVE,1.355501788,103.7617315
TAMAN HO SWEE,1.2876568,103.8325803
TELOK BLANGAH CRES,1.2774161,103.8190622
BEO CRES,1.2890162,103.8280361
TELOK BLANGAH DR,1.272576164,103.8116922
DEPOT RD,1.282166212,103.8068314
TELOK BLANGAH RISE,1.271441883,103.8221409
HENDERSON RD,1.282145692,103.8193609
INDUS RD,1.290218073,103.8296398
HENDERSON CRES,1.289307469,103.822233
TELOK BLANGAH HTS,1.276982759,103.8108863
EVERTON PK,1.2771286,103.8393679
REDHILL CL,1.286410675,103.8168779
HOY FATT RD,1.28716519,103.8104249
HAVELOCK RD,1.2888101,103.8372419
JLN KLINIK,1.287758797,103.8288213
JLN RUMAH TINGGI,1.28839715,103.8091798
KIM CHENG ST,1.284692059,103.8319383
MOH GUAN TER,1.283294745,103.82996
TELOK BLANGAH WAY,1.275025702,103.8206562
KIM TIAN RD,1.28106556,103.8280405
KIM TIAN PL,1.283801209,103.8281655
EMPRESS RD,1.31761495,103.805946
QUEEN'S RD,1.321062553,103.8097001
FARRER RD,1.31748125,103.807462
JLN KUKOH,1.287541271,103.839712
OUTRAM PK,1.2806772,103.8397858
SHORT ST,1.302594429,103.8507154
SELEGIE RD,1.301352914,103.8500033
WATERLOO ST,1.29745057,103.8504512
QUEEN ST,1.296380618,103.8508309
BUFFALO RD,1.30690975,103.8504773
ROWELL RD,1.30807274,103.8556544
ROCHOR RD,1.298090043,103.858184
BAIN ST,1.2976039,103.8533289
SMITH ST,1.283118489,103.8427739
VEERASAMY RD,1.306737905,103.8554365
TECK WHYE AVE,1.381727589,103.7512222
TECK WHYE LANE,1.378508383,103.7528204
CLEMENTI AVE 3,1.311721063,103.7653319
WEST COAST DR,1.311213679,103.7601362
CLEMENTI AVE 2,1.31396165,103.7686254
CLEMENTI AVE 5,1.317387941,103.7683141
CLEMENTI AVE 4,1.317374116,103.7659833
CLEMENTI AVE 1,1.3077813,103.769726
WEST COAST RD,1.312056865,103.7577129
CLEMENTI WEST ST 1,1.30444925,103.7650043
CLEMENTI WEST ST 2,1.302291251,103.7649252
CLEMENTI ST 13,1.324108591,103.7705707
CLEMENTI AVE 6,1.321495458,103.7639787
CLEMENTI ST 14,1.323198539,103.7689133
CIRCUIT RD,1.32834455,103.8872253
MACPHERSON LANE,1.331179337,103.8851192
GEYLANG SERAI,1.316541498,103.8975022
EUNOS CRES,1.3207219,103.9036667
SIMS DR,1.31870063,103.8764156
ALJUNIED CRES,1.3194891,103.8857689
GEYLANG EAST AVE 1,1.318562451,103.8857921
DAKOTA CRES,1.306400308,103.88371
PINE CL,1.30808075,103.8829061
HAIG RD,1.30998315,103.8975075
BALAM RD,1.32948555,103.886181
JLN DUA,1.308577014,103.8890337
GEYLANG EAST CTRL,1.32027145,103.8873826
EUNOS RD 5,1.31899375,103.8964427
HOUGANG AVE 3,1.352990291,103.891011
HOUGANG AVE 5,1.369150898,103.8948225
HOUGANG AVE 1,1.3599367,103.8886498
HOUGANG ST 22,1.355677671,103.8907593
HOUGANG AVE 10,1.37903655,103.8968051
HOUGANG AVE 7,1.36623153,103.8986238
TEBAN GDNS RD,1.320411317,103.7440605
JURONG EAST AVE 1,1.349978143,103.7289603
JURONG EAST ST 32,1.346161759,103.7341463
JURONG EAST ST 13,1.335343343,103.7384153
JURONG EAST ST 21,1.333207025,103.747025
JURONG EAST ST 24,1.342612844,103.7416315
JURONG EAST ST 31,1.346002663,103.7304969
PANDAN GDNS,1.3195055,103.748408
YUNG KUANG RD,1.331344049,103.7244859
HO CHING RD,1.334318743,103.7247062
HU CHING RD,1.329012759,103.7245308
BOON LAY DR,1.34455115,103.709929
BOON LAY AVE,1.34929255,103.7117962
BOON LAY PL,1.3453919,103.7119287
JURONG WEST ST 52,1.346447497,103.7180889
JURONG WEST ST 41,1.349171407,103.7255799
JURONG WEST AVE 1,1.350154562,103.725495
JURONG WEST ST 42,1.3508352,103.7260988
JLN BATU,1.301972347,103.8820698
ST. GEORGE'S RD,1.32379675,103.8615801
FRENCH RD,1.30740475,103.8611312
BEACH RD,1.29438315,103.8550535
WHAMPOA DR,1.325289218,103.8582876
BENDEMEER RD,1.317166948,103.8628181
WHAMPOA WEST,1.320092119,103.8647011
